epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,145.659,1.65067,1.92932,2.11058,1.02143,0.14854,0.39648,0.11144,0.04739,0.12238,0.31278,0.07898,0.02731,1.86118,2.45267,1.94585,1.06676,0.0012872,0.0012872,0.0012872
38,149.816,1.72659,1.97999,2.14412,0.99477,0.15454,0.36959,0.11828,0.05284,0.11943,0.28194,0.08114,0.03349,1.79712,2.61884,1.95389,1.06879,0.0012674,0.0012674,0.0012674
39,153.956,1.70188,2.0572,2.08486,0.963,0.14176,0.40088,0.12007,0.05952,0.12142,0.3348,0.09212,0.03608,1.65998,2.3534,1.89138,1.04534,0.0012476,0.0012476,0.0012476
40,157.859,1.64585,1.87815,2.34904,1.01684,0.16766,0.38326,0.15274,0.07513,0.13129,0.29093,0.11136,0.04039,1.57017,2.385,1.89305,1.03265,0.0012278,0.0012278,0.0012278
41,162.097,1.62243,1.98029,1.8226,0.97123,0.16033,0.39207,0.14252,0.07578,0.13131,0.31718,0.10152,0.03939,1.58907,2.38851,1.88421,1.05809,0.001208,0.001208,0.001208
42,166.222,1.60922,2.20182,2.49903,0.95123,0.13826,0.42291,0.12897,0.06813,0.1109,0.33921,0.08909,0.0375,1.7025,2.41265,1.89546,1.0886,0.0011882,0.0011882,0.0011882
43,170.107,1.33425,1.71042,6.37067,0.76507,0.15164,0.40969,0.13609,0.07307,0.14672,0.3348,0.11853,0.04807,1.68049,2.35649,1.87858,1.0678,0.0011684,0.0011684,0.0011684
44,174.395,1.67845,2.00889,2.40285,0.95053,0.04359,0.64758,0.10217,0.05342,0.03944,0.5859,0.08512,0.03758,1.61639,2.29212,2.39992,1.05045,0.0011486,0.0011486,0.0011486
45,178.258,1.74121,1.85957,2.94372,0.96602,0.03907,0.67401,0.1246,0.06343,0.03601,0.62115,0.11146,0.04811,1.56408,2.25059,2.22701,1.05551,0.0011288,0.0011288,0.0011288
46,182.123,1.6122,2.15911,2.30751,1.05646,0.13861,0.35683,0.11159,0.05681,0.12321,0.31718,0.09603,0.04193,1.6382,2.32742,2.08046,1.075,0.001109,0.001109,0.001109
